id,title,authors,year,doi,abstract,keywords,journal,volume,issue,pages,citations,url,pdf_url,organisms,experiment_type,mission,platform
pub-001,"Spaceflight-Induced Alterations in Bone Mineral Density Distribution","John Smith; Maria Rodriguez; David Chen",2018,"10.1016/j.bone.2018.01.001","This study investigated the effects of microgravity on bone mineral density distribution in astronauts during long-duration spaceflight. Results showed significant decreases in bone mineral density in weight-bearing bones, with the most pronounced effects observed in the femoral neck and lumbar spine. Recovery of bone density post-flight was incomplete after 12 months, suggesting long-term implications for astronaut health during extended missions to the Moon or Mars.","bone loss; microgravity; mineral density; astronaut health; spaceflight","Journal of Bone and Mineral Research","33","4","678-685",42,"https://example.com/bone-study","https://example.com/bone-study.pdf","humans","longitudinal study; bone densitometry","ISS Expedition 45","International Space Station"
pub-002,"Gene Expression Changes in Space-Grown Arabidopsis thaliana","Jennifer Lee; Robert Johnson; Sarah Williams",2019,"10.1104/pp.19.00012","Arabidopsis thaliana plants grown on the International Space Station showed significant alterations in gene expression compared to ground controls. RNA sequencing revealed upregulation of genes involved in stress response and cell wall remodeling, while photosynthesis-related genes were downregulated. These findings provide insights into plant adaptation mechanisms to the spaceflight environment and have implications for bioregenerative life support systems for long-duration space missions.","plants; gene expression; microgravity; space biology; Arabidopsis","Plant Physiology","180","2","765-779",38,"https://example.com/plant-study","https://example.com/plant-study.pdf","Arabidopsis thaliana","transcriptomics; plant growth","Plant Growth Experiment","International Space Station"
pub-003,"Microbiome Changes in Astronauts During Long-Duration Spaceflight","Michael Brown; Lisa Garcia; Thomas Wilson",2020,"10.1038/s41579-020-0123-4","This study characterized changes in the gut microbiome of astronauts during six-month missions on the International Space Station. 16S rRNA sequencing revealed decreased microbial diversity and altered abundance of key bacterial taxa, including reduced Firmicutes and increased Proteobacteria. These changes were associated with immune system dysregulation and may contribute to spaceflight-associated health risks.","microbiome; astronaut health; immune system; microgravity; spaceflight","Nature Microbiology","5","7","956-968",56,"https://example.com/microbiome-study","https://example.com/microbiome-study.pdf","humans; bacteria","microbiome analysis; immunology","ISS Expedition 52","International Space Station"
pub-004,"Cardiovascular Adaptations to Simulated Microgravity in Rodent Models","Elizabeth Taylor; James Anderson; Patricia Martinez",2017,"10.1152/japplphysiol.00772.2017","Head-down tilt bed rest was used to simulate microgravity effects on the cardiovascular system in rodent models. Results showed significant cardiac atrophy, reduced stroke volume, and vascular remodeling after 30 days of simulated microgravity. Exercise countermeasures partially mitigated these effects, suggesting potential interventions for astronauts on long-duration missions.","cardiovascular; microgravity; rodent models; countermeasures; cardiac atrophy","Journal of Applied Physiology","123","5","1223-1235",29,"https://example.com/cardio-study","https://example.com/cardio-study.pdf","mice; rats","bed rest; cardiovascular imaging","Ground-based analog","Head-down tilt bed rest"
pub-005,"Radiation Shielding Materials for Deep Space Missions","Richard White; Susan Miller; Daniel Thompson",2021,"10.1016/j.radmeas.2021.03.005","This study evaluated various materials for radiation shielding during deep space missions. Polyethylene-based composites with added boron nanoparticles showed superior protection against galactic cosmic rays compared to aluminum shields of equivalent mass. Monte Carlo simulations predicted a 35% reduction in astronaut radiation exposure using the novel composite materials, which could be critical for future Mars missions.","radiation; shielding; deep space; Mars missions; galactic cosmic rays","Radiation Measurements","146","","106612",18,"https://example.com/radiation-study","https://example.com/radiation-study.pdf","","materials testing; radiation dosimetry","","Ground-based research"
pub-006,"Muscle Atrophy Countermeasures: Comparing Exercise Protocols in Simulated Microgravity","Kevin Adams; Laura Nelson; Christopher Lee",2019,"10.1007/s00421-019-04157-y","This study compared three exercise protocols for preventing muscle atrophy during 60 days of simulated microgravity using the NASA Bed Rest Study platform. High-intensity interval training showed superior results in maintaining muscle mass and strength compared to traditional resistance training or combined aerobic/resistance protocols. Molecular analysis revealed differences in protein synthesis pathways between protocols.","muscle atrophy; exercise countermeasures; microgravity; bed rest; protein synthesis","European Journal of Applied Physiology","119","8","1809-1824",31,"https://example.com/muscle-study","https://example.com/muscle-study.pdf","humans","bed rest; muscle physiology; proteomics","NASA Bed Rest Study","Ground-based analog"
pub-007,"Plant Growth Systems for Lunar Habitats: Light Optimization Studies","Michelle Robinson; Andrew Clark; Stephanie Lewis",2022,"10.1016/j.asr.2022.01.008","This research optimized LED lighting systems for plant growth in simulated lunar habitat conditions. A combination of red (660nm) and blue (450nm) LEDs with supplemental green (525nm) light produced the highest biomass and nutritional content in leafy greens. The optimized lighting system reduced energy consumption by 27% compared to standard horticultural lighting while maintaining crop yields.","plants; lunar habitats; LED lighting; space agriculture; sustainable food production","Advances in Space Research","69","5","2145-2158",7,"https://example.com/plant-lighting-study","https://example.com/plant-lighting-study.pdf","lettuce; spinach; kale","controlled environment agriculture","Artemis program","Ground-based research"
pub-008,"Neurocognitive Performance During Long-Duration Spaceflight","Paul Harris; Nancy Wilson; George Martinez",2020,"10.1093/brain/awaa123","This study assessed neurocognitive performance in astronauts during and after six-month missions on the International Space Station. Cognitive testing revealed transient deficits in spatial orientation and working memory during flight, with most functions returning to baseline within two months post-flight. However, some aspects of executive function showed persistent changes, raising concerns for longer missions.","neuroscience; cognition; spaceflight; astronaut performance; brain function","Brain","143","6","1746-1760",42,"https://example.com/neuro-study","https://example.com/neuro-study.pdf","humans","cognitive testing; neuroimaging","ISS Expedition 59","International Space Station"
pub-009,"Genetic Adaptation to Space Radiation in Drosophila melanogaster","Karen Young; Steven Adams; Jessica Brown",2018,"10.1534/genetics.118.300757","This study investigated genetic adaptation to space radiation using Drosophila melanogaster as a model organism. After 30 generations of exposure to simulated space radiation, flies showed increased radiation resistance and upregulation of DNA repair genes. Whole genome sequencing identified several novel mutations associated with radiation resistance that could inform radiation countermeasures for astronauts.","genetics; radiation; Drosophila; adaptation; DNA repair","Genetics","209","2","573-587",25,"https://example.com/drosophila-study","https://example.com/drosophila-study.pdf","Drosophila melanogaster","genetic analysis; radiation exposure","","Ground-based research"
pub-010,"Lunar Dust Toxicity: Implications for Future Moon Missions","William Johnson; Linda Garcia; Robert Chen",2021,"10.1016/j.toxlet.2021.02.003","This study evaluated the toxicity of simulated lunar dust on human lung epithelial cells and in rodent inhalation models. Results showed significant inflammatory responses and oxidative stress at exposure levels that might be encountered during lunar surface operations. Particle size analysis indicated that particles <2.5μm pose the greatest health risk, necessitating improved filtration systems for lunar habitats.","lunar dust; toxicity; respiratory health; Moon missions; filtration","Toxicology Letters","341","","89-98",12,"https://example.com/lunar-dust-study","https://example.com/lunar-dust-study.pdf","humans; mice; cell cultures","toxicology; inhalation studies","Artemis program","Ground-based research"
